house_generation_10kw__V 1 MPPT(V),house_generation_10kw__V 2 MPPT(V),house_generation_10kw__V 3 MPPT(V),house_generation_10kw__I 1 MPPT(A),house_generation_10kw__I 2 MPPT(A),house_generation_10kw__I 3 MPPT(A),house_generation_10kw__Ua(V),house_generation_10kw__I CA 1(A),house_generation_10kw__FAC 1(Hz),house_generation_10kw__power,house_generation_10kw__inverter_temp,house_generation_10kw__daily_generation,house_generation_10kw__uptime,house_generation_10kw__rssi,pandas_simple__Temperature,pandas_simple__Humidity,pandas_simple__Pressure,pandas_simple__class,cubesat_sensor_data__sun_vector_x,cubesat_sensor_data__sun_vector_y,cubesat_sensor_data__sun_vector_z,cubesat_sensor_data__irradiance_Wm2,cubesat_sensor_data__gyro_x,cubesat_sensor_data__gyro_y,cubesat_sensor_data__gyro_z,cubesat_sensor_data__accel_x,cubesat_sensor_data__accel_y,cubesat_sensor_data__accel_z,cubesat_sensor_data__mag_x,cubesat_sensor_data__mag_y,cubesat_sensor_data__mag_z,cubesat_sensor_data__lidar_distance_m,cubesat_sensor_data__lidar_signal_strength,cubesat_sensor_data__battery_voltage_V,cubesat_sensor_data__battery_current_A,cubesat_sensor_data__battery_soc_%,cubesat_sensor_data__temperature_C,cubesat_sensor_data__humidity_%,cubesat_sensor_data__pressure_hPa,cubesat_sensor_data__ina219_voltage_V,cubesat_sensor_data__ina219_current_mA,cubesat_sensor_data__uhf_signal_strength_dBm,cubesat_sensor_data__packet_loss_%,anomaly_score,anomaly_label
327.3,327.3,327.7,5.0,5.2,8.6,252.0,23.7,49.98,5983.0,28.6,4.8,1474.0,80.0,78.09595559,23.96006159,971.2081408,1,-0.7053710304410457,-0.5495980010348407,-0.9885243345229566,1271.1510612442278,-0.0652472992937687,-0.0302408821688714,0.0548783972339631,-0.1173281274212689,0.241177134059881,9.805347908863052,0.0019949253125688,-0.0537088250165103,-0.0460993990177905,2.8390080042995134,97.61349003362614,7.380974760685923,0.2764294237311048,85.38303269365667,27.982459384881576,47.54862796565895,1011.749796190924,5.037893904293165,111.38367932271544,-88.88033931183641,1.7047089934631503,0.07009163484895298,0
273.3,270.9,320.2,9.2,9.7,8.6,251.0,30.3,50.01,7568.0,41.9,29.6,1142.0,84.0,79.87220564,23.15025587,970.4882129,1,-0.7053710304410457,-0.5495980010348407,-0.9885243345229566,1271.1510612442278,-0.0652472992937687,-0.0302408821688714,0.0548783972339631,-0.1173281274212689,0.241177134059881,9.805347908863052,0.0019949253125688,-0.0537088250165103,-0.0460993990177905,2.8390080042995134,97.61349003362614,7.380974760685923,0.2764294237311048,85.38303269365667,27.982459384881576,47.54862796565895,1011.749796190924,5.037893904293165,111.38367932271544,-88.88033931183641,1.7047089934631503,0.10536167755720577,0
166.6,263.1,330.3,2.8,1.5,2.0,241.3,6.1,49.91,1584.0,27.7,40.6,1212.0,78.0,78.12777563,19.5719759,970.2388255,1,-0.7053710304410457,-0.5495980010348407,-0.9885243345229566,1271.1510612442278,-0.0652472992937687,-0.0302408821688714,0.0548783972339631,-0.1173281274212689,0.241177134059881,9.805347908863052,0.0019949253125688,-0.0537088250165103,-0.0460993990177905,2.8390080042995134,97.61349003362614,7.380974760685923,0.2764294237311048,85.38303269365667,27.982459384881576,47.54862796565895,1011.749796190924,5.037893904293165,111.38367932271544,-88.88033931183641,1.7047089934631503,0.08418371679244618,0
297.7,224.9,342.9,3.1,1.8,2.7,231.9,9.5,50.17,2177.0,26.8,15.1,900.0,74.0,77.46637464,23.30844653,971.1493999,0,-0.7053710304410457,-0.5495980010348407,-0.9885243345229566,1271.1510612442278,-0.0652472992937687,-0.0302408821688714,0.0548783972339631,-0.1173281274212689,0.241177134059881,9.805347908863052,0.0019949253125688,-0.0537088250165103,-0.0460993990177905,2.8390080042995134,97.61349003362614,7.380974760685923,0.2764294237311048,85.38303269365667,27.982459384881576,47.54862796565895,1011.749796190924,5.037893904293165,111.38367932271544,-88.88033931183641,1.7047089934631503,0.14905943944413275,0
296.5,296.3,298.1,8.0,7.9,9.5,252.3,29.3,50.01,7472.0,42.0,26.1,1440.0,92.0,77.5572887,22.33472577,970.9032263,0,-0.7053710304410457,-0.5495980010348407,-0.9885243345229566,1271.1510612442278,-0.0652472992937687,-0.0302408821688714,0.0548783972339631,-0.1173281274212689,0.241177134059881,9.805347908863052,0.0019949253125688,-0.0537088250165103,-0.0460993990177905,2.8390080042995134,97.61349003362614,7.380974760685923,0.2764294237311048,85.38303269365667,27.982459384881576,47.54862796565895,1011.749796190924,5.037893904293165,111.38367932271544,-88.88033931183641,1.7047089934631503,0.061521549199668235,0
294.1,300.4,347.9,5.2,5.5,4.7,235.3,19.7,50.02,4445.0,29.4,9.5,1286.0,82.0,77.7482084,19.72049089,970.233638,0,-0.7053710304410457,-0.5495980010348407,-0.9885243345229566,1271.1510612442278,-0.0652472992937687,-0.0302408821688714,0.0548783972339631,-0.1173281274212689,0.241177134059881,9.805347908863052,0.0019949253125688,-0.0537088250165103,-0.0460993990177905,2.8390080042995134,97.61349003362614,7.380974760685923,0.2764294237311048,85.38303269365667,27.982459384881576,47.54862796565895,1011.749796190924,5.037893904293165,111.38367932271544,-88.88033931183641,1.7047089934631503,0.14497067880139636,0
284.0,305.1,327.1,8.4,5.0,8.2,246.4,26.0,49.97,6400.0,40.1,19.1,344.0,82.0,76.96521181,28.07262924,971.7352969,0,-0.7053710304410457,-0.5495980010348407,-0.9885243345229566,1271.1510612442278,-0.0652472992937687,-0.0302408821688714,0.0548783972339631,-0.1173281274212689,0.241177134059881,9.805347908863052,0.0019949253125688,-0.0537088250165103,-0.0460993990177905,2.8390080042995134,97.61349003362614,7.380974760685923,0.2764294237311048,85.38303269365667,27.982459384881576,47.54862796565895,1011.749796190924,5.037893904293165,111.38367932271544,-88.88033931183641,1.7047089934631503,0.1333648716684795,0
276.8,276.9,308.0,0.6,0.6,0.6,224.6,2.7,49.96,591.0,22.7,0.8,489.0,76.0,77.77661909,25.87495808,971.5595462,0,-0.7053710304410457,-0.5495980010348407,-0.9885243345229566,1271.1510612442278,-0.0652472992937687,-0.0302408821688714,0.0548783972339631,-0.1173281274212689,0.241177134059881,9.805347908863052,0.0019949253125688,-0.0537088250165103,-0.0460993990177905,2.8390080042995134,97.61349003362614,7.380974760685923,0.2764294237311048,85.38303269365667,27.982459384881576,47.54862796565895,1011.749796190924,5.037893904293165,111.38367932271544,-88.88033931183641,1.7047089934631503,0.1905156921308659,0
112.6,94.1,135.6,0.1,0.1,0.1,228.1,0.8,50.02,160.0,19.7,0.0,390.0,80.0,76.91520926,26.71311261,971.6346796,0,-0.7053710304410457,-0.5495980010348407,-0.9885243345229566,1271.1510612442278,-0.0652472992937687,-0.0302408821688714,0.0548783972339631,-0.1173281274212689,0.241177134059881,9.805347908863052,0.0019949253125688,-0.0537088250165103,-0.0460993990177905,2.8390080042995134,97.61349003362614,7.380974760685923,0.2764294237311048,85.38303269365667,27.982459384881576,47.54862796565895,1011.749796190924,5.037893904293165,111.38367932271544,-88.88033931183641,1.7047089934631503,0.10766762627034743,0
278.6,300.1,323.1,6.9,4.8,6.8,241.8,22.3,50.01,5428.0,37.9,19.6,632.0,86.0,79.52331809,26.98226841,970.5273129,1,-0.7053710304410457,-0.5495980010348407,-0.9885243345229566,1271.1510612442278,-0.0652472992937687,-0.0302408821688714,0.0548783972339631,-0.1173281274212689,0.241177134059881,9.805347908863052,0.0019949253125688,-0.0537088250165103,-0.0460993990177905,2.8390080042995134,97.61349003362614,7.380974760685923,0.2764294237311048,85.38303269365667,27.982459384881576,47.54862796565895,1011.749796190924,5.037893904293165,111.38367932271544,-88.88033931183641,1.7047089934631503,0.1502735995019608,0
271.7,271.1,320.8,9.0,9.6,8.5,251.8,29.9,49.97,7413.0,42.6,38.5,1324.0,80.0,77.19931489,19.29198938,970.4311728,0,-0.7053710304410457,-0.5495980010348407,-0.9885243345229566,1271.1510612442278,-0.0652472992937687,-0.0302408821688714,0.0548783972339631,-0.1173281274212689,0.241177134059881,9.805347908863052,0.0019949253125688,-0.0537088250165103,-0.0460993990177905,2.8390080042995134,97.61349003362614,7.380974760685923,0.2764294237311048,85.38303269365667,27.982459384881576,47.54862796565895,1011.749796190924,5.037893904293165,111.38367932271544,-88.88033931183641,1.7047089934631503,0.06559212553585281,0
283.2,282.2,313.5,0.1,0.0,0.0,223.5,0.0,49.97,0.0,18.4,0.0,559.0,74.0,79.78697245,26.0571399,971.1737259,1,-0.7053710304410457,-0.5495980010348407,-0.9885243345229566,1271.1510612442278,-0.0652472992937687,-0.0302408821688714,0.0548783972339631,-0.1173281274212689,0.241177134059881,9.805347908863052,0.0019949253125688,-0.0537088250165103,-0.0460993990177905,2.8390080042995134,97.61349003362614,7.380974760685923,0.2764294237311048,85.38303269365667,27.982459384881576,47.54862796565895,1011.749796190924,5.037893904293165,111.38367932271544,-88.88033931183641,1.7047089934631503,0.1606897299178927,0
288.7,292.9,319.0,0.8,0.7,0.7,231.2,3.2,49.96,732.0,23.7,3.4,418.0,76.0,76.83452336,23.730485,971.807464,0,-0.7053710304410457,-0.5495980010348407,-0.9885243345229566,1271.1510612442278,-0.0652472992937687,-0.0302408821688714,0.0548783972339631,-0.1173281274212689,0.241177134059881,9.805347908863052,0.0019949253125688,-0.0537088250165103,-0.0460993990177905,2.8390080042995134,97.61349003362614,7.380974760685923,0.2764294237311048,85.38303269365667,27.982459384881576,47.54862796565895,1011.749796190924,5.037893904293165,111.38367932271544,-88.88033931183641,1.7047089934631503,0.2117303388710009,0
282.6,308.4,355.9,1.2,1.9,1.7,239.9,7.3,49.93,1765.0,21.0,0.6,1318.0,80.0,77.4868303,19.25992588,970.358832,0,-0.7053710304410457,-0.5495980010348407,-0.9885243345229566,1271.1510612442278,-0.0652472992937687,-0.0302408821688714,0.0548783972339631,-0.1173281274212689,0.241177134059881,9.805347908863052,0.0019949253125688,-0.0537088250165103,-0.0460993990177905,2.8390080042995134,97.61349003362614,7.380974760685923,0.2764294237311048,85.38303269365667,27.982459384881576,47.54862796565895,1011.749796190924,5.037893904293165,111.38367932271544,-88.88033931183641,1.7047089934631503,0.14737094817567775,0
